Far field
"Phi"[deg]	"Horizon [m^2]"	
1.67000000E+02	1.70371262E+00	
1.68000000E+02	1.70518035E+00	
1.69000000E+02	1.70652455E+00	
1.70000000E+02	1.70774517E+00	
1.71000000E+02	1.70884235E+00	
1.72000000E+02	1.70981633E+00	
1.73000000E+02	1.71066751E+00	
1.74000000E+02	1.71139640E+00	
1.75000000E+02	1.71200362E+00	
1.76000000E+02	1.71248993E+00	
1.77000000E+02	1.71285613E+00	
1.78000000E+02	1.71310315E+00	
1.79000000E+02	1.71323199E+00	
1.80000000E+02	1.71324370E+00	
1.81000000E+02	1.71313940E+00	
1.82000000E+02	1.71292025E+00	
1.83000000E+02	1.71258746E+00	
1.84000000E+02	1.71214224E+00	
1.85000000E+02	1.71158585E+00	
1.86000000E+02	1.71091953E+00	
1.87000000E+02	1.71014455E+00	
1.88000000E+02	1.70926215E+00	
1.89000000E+02	1.70827355E+00	
1.90000000E+02	1.70717996E+00	
1.91000000E+02	1.70598256E+00	
1.92000000E+02	1.70468247E+00	
1.93000000E+02	1.70328080E+00	
1.94000000E+02	1.70177860E+00	
1.95000000E+02	1.70017686E+00	
1.96000000E+02	1.69847654E+00	
1.97000000E+02	1.69667853E+00	
1.98000000E+02	1.69478370E+00	
1.99000000E+02	1.69279283E+00	
2.00000000E+02	1.69070670E+00	
2.01000000E+02	1.68852602E+00	
2.02000000E+02	1.68625148E+00	
2.03000000E+02	1.68388375E+00	
2.04000000E+02	1.68142348E+00	
2.05000000E+02	1.67887131E+00	
2.06000000E+02	1.67622791E+00	
2.07000000E+02	1.67349397E+00	
2.08000000E+02	1.67067019E+00	
2.09000000E+02	1.66775737E+00	
2.10000000E+02	1.66475635E+00	
2.11000000E+02	1.66166809E+00	
2.12000000E+02	1.65849363E+00	
2.13000000E+02	1.65523417E+00	
2.14000000E+02	1.65189105E+00	
2.15000000E+02	1.64846579E+00	
2.16000000E+02	1.64496009E+00	
2.17000000E+02	1.64137588E+00	
2.18000000E+02	1.63771530E+00	
2.19000000E+02	1.63398077E+00	
2.20000000E+02	1.63017497E+00	
2.21000000E+02	1.62630085E+00	
2.22000000E+02	1.62236167E+00	
2.23000000E+02	1.61836102E+00	
