Theta  Phi    RCS(m2)     
0      90     1.52955     
1      90     1.529       
2      90     1.52786     
3      90     1.5261      
4      90     1.52372     
5      90     1.52073     
6      90     1.51709     
7      90     1.51281     
8      90     1.50786     
9      90     1.50221     
10     90     1.49585     
11     90     1.48874     
12     90     1.48086     
13     90     1.47216     
14     90     1.4626      
15     90     1.45216     
16     90     1.44078     
17     90     1.42842     
18     90     1.41502     
19     90     1.40056     
20     90     1.38498     
21     90     1.36823     
22     90     1.35028     
23     90     1.3311      
24     90     1.31065     
25     90     1.28891     
26     90     1.26588     
27     90     1.24155     
28     90     1.21594     
29     90     1.18907     
30     90     1.161       
31     90     1.13179     
32     90     1.10152     
33     90     1.0703      
34     90     1.03826     
35     90     1.00556     
36     90     0.972365    
37     90     0.938885    
38     90     0.905348    
39     90     0.872006    
40     90     0.839133    
41     90     0.807028    
42     90     0.776008    
43     90     0.746409    
44     90     0.718582    
45     90     0.692888    
46     90     0.669697    
47     90     0.649383    
48     90     0.632316    
49     90     0.618862    
50     90     0.609374    
51     90     0.604184    
52     90     0.603605    
53     90     0.607915    
54     90     0.617358    
55     90     0.632134    
56     90     0.652394    
57     90     0.678235    
58     90     0.709693    
59     90     0.746741    
60     90     0.78928     
61     90     0.837139    
62     90     0.890072    
63     90     0.947754    
64     90     1.00978     
65     90     1.07568     
66     90     1.14489     
67     90     1.21677     
68     90     1.29063     
69     90     1.3657      
70     90     1.44117     
71     90     1.51614     
72     90     1.58973     
73     90     1.66097     
74     90     1.72891     
75     90     1.79259     
76     90     1.85103     
77     90     1.90332     
78     90     1.94854     
79     90     1.98585     
80     90     2.01448     
81     90     2.03371     
82     90     2.04296     
83     90     2.04173     
84     90     2.02966     
85     90     2.00652     
86     90     1.97223     
87     90     1.92688     
88     90     1.8707      
89     90     1.8041      
90     90     1.72767     
91     90     1.64216     
92     90     1.54849     
93     90     1.44774     
94     90     1.34117     
95     90     1.23015     
96     90     1.11621     
97     90     1.00098     
98     90     0.886192    
99     90     0.773654    
100    90     0.665223    
101    90     0.562784    
102    90     0.468225    
103    90     0.383404    
104    90     0.310127    
105    90     0.250114    
106    90     0.204977    
107    90     0.176189    
108    90     0.165058    
109    90     0.172708    
110    90     0.20005     
111    90     0.247772    
112    90     0.316318    
113    90     0.405878    
114    90     0.516382    
115    90     0.647497    
116    90     0.798627    
117    90     0.968923    
118    90     1.15729     
119    90     1.36241     
120    90     1.58274     
121    90     1.81659     
122    90     2.06209     
123    90     2.31725     
124    90     2.58002     
125    90     2.84827     
126    90     3.1199      
127    90     3.39283     
128    90     3.66505     
129    90     3.93469     
130    90     4.20001     
131    90     4.4595      
132    90     4.71184     
133    90     4.95602     
134    90     5.19126     
135    90     5.41713     
136    90     5.63349     
137    90     5.84055     
138    90     6.03882     
139    90     6.22915     
140    90     6.4127      
141    90     6.5909      
142    90     6.76546     
143    90     6.93829     
144    90     7.1115      
145    90     7.28734     
146    90     7.46814     
147    90     7.65626     
148    90     7.85406     
149    90     8.0638      
150    90     8.28762     
151    90     8.52744     
152    90     8.78495     
153    90     9.06153     
154    90     9.35823     
155    90     9.67569     
156    90     10.0141     
157    90     10.3733     
158    90     10.7526     
159    90     11.1507     
160    90     11.5661     
161    90     11.9966     
162    90     12.4396     
163    90     12.8922     
164    90     13.351      
165    90     13.8122     
166    90     14.272      
167    90     14.7259     
168    90     15.1698     
169    90     15.5991     
170    90     16.0095     
171    90     16.3964     
172    90     16.7556     
173    90     17.0831     
174    90     17.3752     
175    90     17.6284     
176    90     17.8398     
177    90     18.0067     
178    90     18.1273     
179    90     18.2001     
180    90     18.2241     
