Far field
"Theta"[deg]	"Phi = 0 deg [m^2]"	"Phi = 90 deg [m^2]"	
1.12000000E+02	3.12191783E-01	1.37879226E+00	
1.13000000E+02	4.02239989E-01	1.37485589E+00	
1.14000000E+02	5.13177645E-01	1.37358176E+00	
1.15000000E+02	6.44667869E-01	1.37533804E+00	
1.16000000E+02	7.96113523E-01	1.38049104E+00	
1.17000000E+02	9.66663768E-01	1.38940505E+00	
1.18000000E+02	1.15522539E+00	1.40244272E+00	
1.19000000E+02	1.36047890E+00	1.41996596E+00	
1.20000000E+02	1.58089916E+00	1.44233740E+00	
1.21000000E+02	1.81478048E+00	1.46992226E+00	
1.22000000E+02	2.06026566E+00	1.50309078E+00	
1.23000000E+02	2.31537865E+00	1.54222085E+00	
1.24000000E+02	2.57806036E+00	1.58770107E+00	
1.25000000E+02	2.84620680E+00	1.63993380E+00	
1.26000000E+02	3.11770919E+00	1.69933840E+00	
1.27000000E+02	3.39049500E+00	1.76635424E+00	
1.28000000E+02	3.66256924E+00	1.84144351E+00	
1.29000000E+02	3.93205527E+00	1.92509362E+00	
1.30000000E+02	4.19723409E+00	2.01781895E+00	
1.31000000E+02	4.45658137E+00	2.12016195E+00	
1.32000000E+02	4.70880136E+00	2.23269332E+00	
1.33000000E+02	4.95285685E+00	2.35601107E+00	
1.34000000E+02	5.18799447E+00	2.49073850E+00	
1.35000000E+02	5.41376458E+00	2.63752085E+00	
1.36000000E+02	5.63003525E+00	2.79702056E+00	
1.37000000E+02	5.83699975E+00	2.96991103E+00	
1.38000000E+02	6.03517721E+00	3.15686901E+00	
1.39000000E+02	6.22540630E+00	3.35856542E+00	
1.40000000E+02	6.40883166E+00	3.57565473E+00	
1.41000000E+02	6.58688333E+00	3.80876297E+00	
1.42000000E+02	6.76124925E+00	4.05847455E+00	
1.43000000E+02	6.93384129E+00	4.32531788E+00	
1.44000000E+02	7.10675523E+00	4.60975019E+00	
1.45000000E+02	7.28222544E+00	4.91214159E+00	
1.46000000E+02	7.46257506E+00	5.23275882E+00	
1.47000000E+02	7.65016251E+00	5.57174884E+00	
1.48000000E+02	7.84732546E+00	5.92912262E+00	
1.49000000E+02	8.05632329E+00	6.30473962E+00	
1.50000000E+02	8.27927931E+00	6.69829300E+00	
1.51000000E+02	8.51812388E+00	7.10929631E+00	
1.52000000E+02	8.77453970E+00	7.53707168E+00	
1.53000000E+02	9.04991046E+00	7.98074004E+00	
1.54000000E+02	9.34527408E+00	8.43921373E+00	
1.55000000E+02	9.66128167E+00	8.91119160E+00	
1.56000000E+02	9.99816303E+00	9.39515714E+00	
1.57000000E+02	1.03557000E+01	9.88937963E+00	
1.58000000E+02	1.07332078E+01	1.03919186E+01	
1.59000000E+02	1.11295258E+01	1.09006317E+01	
1.60000000E+02	1.15430171E+01	1.14131862E+01	
1.61000000E+02	1.19715784E+01	1.19270735E+01	
1.62000000E+02	1.24126586E+01	1.24396275E+01	
1.63000000E+02	1.28632876E+01	1.29480460E+01	
1.64000000E+02	1.33201141E+01	1.34494152E+01	
1.65000000E+02	1.37794512E+01	1.39407366E+01	
1.66000000E+02	1.42373301E+01	1.44189570E+01	
1.67000000E+02	1.46895613E+01	1.48809999E+01	
1.68000000E+02	1.51317997E+01	1.53237986E+01	
1.69000000E+02	1.55596157E+01	1.57443303E+01	
1.70000000E+02	1.59685684E+01	1.61396514E+01	
1.71000000E+02	1.63542808E+01	1.65069315E+01	
1.72000000E+02	1.67125145E+01	1.68434881E+01	
1.73000000E+02	1.70392439E+01	1.71468196E+01	
1.74000000E+02	1.73307264E+01	1.74146362E+01	
1.75000000E+02	1.75835692E+01	1.76448893E+01	
1.76000000E+02	1.77947897E+01	1.78357979E+01	
1.77000000E+02	1.79618689E+01	1.79858714E+01	
1.78000000E+02	1.80827973E+01	1.80939297E+01	
1.79000000E+02	1.81561110E+01	1.81591180E+01	
1.80000000E+02	1.81809187E+01	1.81809187E+01	
